Ticker,Name,Exchange,Category Name,Country
AN.V,ARENA MINERALS INC,VAN,,Canada
AMX.V,Amex Exploration Inc.,VAN,Gold,Canada
ALY.V,AnalytixInsight Inc.,VAN,,Canada
ALL-H.V,Allante Resources Ltd.,VAN,Gold,Canada
AGO.V,AurCrest Gold Inc.,VAN,Industrial Metals & Minerals,Canada
AGM.V,Aldridge Minerals Inc.,VAN,Industrial Metals & Minerals,Canada
AGE.V,"Adventure Gold, Inc.",VAN,,Canada
AEZ.TO,Aeterna Zentaris Inc.,TOR,,Canada
AEI.TO,Arsenal Energy Inc.,TOR,,Canada
ADW-B.TO,Andrew Peller Limited,TOR,Beverages - Wineries & Distillers,Canada
ABR.V,Ashburton Ventures Inc.,VAN,Industrial Metals & Minerals,Canada
ABE.V,ABE Resources Inc.,VAN,Industrial Metals & Minerals,Canada
AAV.TO,Advantage Oil & Gas Ltd.,TOR,Independent Oil & Gas,Canada
ISM.TO,Inspiration Mining Corporation,TOR,,Canada
BBD-B.TO,Bombardier Inc.,TOR,Aerospace/Defense - Major Diversified,Canada
EXE.TO,Extendicare Inc.,TOR,Long-Term Care Facilities,Canada
VRX.TO,"Valeant Pharmaceuticals International, Inc.",TOR,Drugs - Generic,Canada
RY.TO,Royal Bank of Canada,TOR,Money Center Banks,Canada
EME.V,Emerge Resources Corp.,VAN,,Canada
BNS.TO,The Bank of Nova Scotia,TOR,Money Center Banks,Canada
TD.TO,The Toronto-Dominion Bank,TOR,Money Center Banks,Canada
PRE.TO,Pacific Exploration & Production Corporation,TOR,,Canada
SRK.V,Sunvest Minerals Corp.,VAN,,Canada
CM.TO,Canadian Imperial Bank of Commerce,TOR,Money Center Banks,Canada
CXR.TO,Concordia International Corp.,TOR,Biotechnology,Canada
CSU.TO,Constellation Software Inc.,TOR,Technical & System Software,Canada
BB.TO,BlackBerry Limited,TOR,Communication Equipment,Canada
PPL.TO,Pembina Pipeline Corporation,TOR,Oil & Gas Pipelines,Canada
BCE.TO,BCE Inc.,TOR,Wireless Communications,Canada
SLW.TO,Silver Wheaton Corp.,TOR,,Canada
MBC.TO,MBAC Fertilizer Corp,TOR,,Canada
LIQ.TO,Liquor Stores N.A. Ltd.,TOR,Industrial Metals & Minerals,Canada
GTE.TO,Gran Tierra Energy Inc.,TOR,Independent Oil & Gas,Canada
GCL.TO,Colabor Group Inc.,TOR,Industrial Metals & Minerals,Canada
DGC.TO,Detour Gold Corporation,TOR,Gold,Canada
CWB.TO,Canadian Western Bank,TOR,Money Center Banks,Canada
DTX.TO,Granite Oil Corp.,TOR,,Canada
Y.TO,Yellow Pages Limited,TOR,Publishing - Newspapers,Canada
TCN.TO,Tricon Capital Group Inc.,TOR,Property Management,Canada
SOX.TO,Stuart Olson Inc.,TOR,General Contractors,Canada
POU.TO,Paramount Resources Ltd.,TOR,Independent Oil & Gas,Canada
NA.TO,National Bank of Canada,TOR,Money Center Banks,Canada
GEN.TO,GeneNews Limited,TOR,Medical Laboratories & Research,Canada
KBG.V,King's Bay Resources Corp.,VAN,Gold,Canada
ENF.TO,Enbridge Income Fund Holdings Inc.,TOR,Independent Oil & Gas,Canada
EIF.TO,Exchange Income Corporation,TOR,Major Airlines,Canada
DWI.TO,DragonWave Inc.,TOR,,Canada
DOL.TO,Dollarama Inc.,TOR,"Discount, Variety Stores",Canada
CPX.TO,Capital Power Corporation,TOR,Electric Utilities,Canada
CIX.TO,CI Financial Corp,TOR,Independent Oil & Gas,Canada
BTE.TO,Baytex Energy Corp.,TOR,Independent Oil & Gas,Canada
VRS.V,Verisante Technology Inc.,VAN,Medical Appliances & Equipment,Canada
UFS.TO,Domtar Corporation,TOR,Paper & Paper Products,Canada
SU.TO,Suncor Energy Inc.,TOR,Major Integrated Oil & Gas,Canada
RRX.TO,Raging River Exploration Inc.,TOR,Independent Oil & Gas,Canada
PHM.V,Patient Home Monitoring Corp.,VAN,Medical Appliances & Equipment,Canada
PBH.TO,Premium Brands Holdings Corporation,TOR,Food - Major Diversified,Canada
NWC.TO,The North West Company Inc.,TOR,Grocery Stores,Canada
IRG.TO,Imvescor Restaurant Group Inc.,TOR,Restaurants,Canada
IPL.TO,Inter Pipeline Ltd.,TOR,Oil & Gas Pipelines,Canada
IDG.TO,Indigo Books & Music Inc.,TOR,"Specialty Retail, Other",Canada
EFN.TO,Element Fleet Management Corp.,TOR,Credit Services,Canada
CPG.TO,Crescent Point Energy Corp.,TOR,Independent Oil & Gas,Canada
CGX.TO,Cineplex Inc.,TOR,Entertainment - Diversified,Canada
WLC.TO,Lithium Americas Corp.,TOR,,Canada
TPK.TO,Ten Peaks Coffee Company Inc,TOR,Food - Major Diversified,Canada
SQP.TO,Strongco Corporation,TOR,Industrial Equipment Wholesale,Canada
MOO.V,Mooncor Oil & Gas Corp.,VAN,Independent Oil & Gas,Canada
RKN.TO,Redknee Solutions Inc.,TOR,Technical & System Software,Canada
QSR.TO,Restaurant Brands International Inc.,TOR,Restaurants,Canada
PXT.TO,Parex Resources Inc.,TOR,Industrial Metals & Minerals,Canada
PMT.TO,Perpetual Energy Inc.,TOR,Independent Oil & Gas,Canada
NWH-UN.TO,NorthWest Healthcare Properties Real Estate Investment Trust,TOR,REIT - Healthcare Facilities,Canada
MXG.TO,Maxim Power Corp.,TOR,Diversified Utilities,Canada
MTL.TO,Mullen Group Ltd.,TOR,Oil & Gas Equipment & Services,Canada
MSL.TO,Merus Labs International Inc.,TOR,,Canada
MSI.TO,Morneau Shepell Inc.,TOR,Staffing & Outsourcing Services,Canada
MM.TO,Mood Media Corporation,TOR,,Canada
MGT.TO,"Mines Management, Inc.",TOR,,Canada
MBX.TO,Microbix Biosystems Inc.,TOR,Biotechnology,Canada
ITC.TO,Intrinsyc Technologies Corporation,TOR,Industrial Metals & Minerals,Canada
IFC.TO,Intact Financial Corporation,TOR,Property & Casualty Insurance,Canada
HYG.TO,Hydrogenics Corporation,TOR,Diversified Machinery,Canada
HWD.TO,Hardwoods Distribution Inc.,TOR,Industrial Equipment Wholesale,Canada
HBC.TO,Hudson's Bay Company,TOR,Department Stores,Canada
GUD.TO,Knight Therapeutics Inc.,TOR,Drugs - Generic,Canada
GLG.TO,GLG Life Tech Corporation,TOR,Farm Products,Canada
XI.V,Exclamation Investments Corporation,VAN,,Canada
DOO.TO,BRP Inc.,TOR,Industrial Metals & Minerals,Canada
CCZ.TO,Critical Control Energy Services Corp.,TOR,Information Technology Services,Canada
BXE.TO,Bellatrix Exploration Ltd.,TOR,Independent Oil & Gas,Canada
BTO.TO,B2Gold Corp.,TOR,Gold,Canada
BRE.TO,Brookfield Real Estate Services Inc.,TOR,Property Management,Canada
BMO.TO,Bank of Montreal,TOR,Money Center Banks,Canada
BDI.TO,Black Diamond Group Limited,TOR,Rental & Leasing Services,Canada
VGZ.TO,Vista Gold Corp.,TOR,Gold,Canada
VET.TO,Vermilion Energy Inc.,TOR,Independent Oil & Gas,Canada
TXG.TO,Torex Gold Resources Inc,TOR,Gold,Canada
TLB.TO,TearLab Corporation,TOR,Medical Laboratories & Research,Canada
THO.TO,Tahoe Resources Inc.,TOR,Industrial Metals & Minerals,Canada
TGZ.TO,Teranga Gold Corporation,TOR,Gold,Canada
TEL.TO,Tellza Communications Inc.,TOR,Oil & Gas Drilling & Exploration,Canada
SXP.TO,Supremex Inc.,TOR,Paper & Paper Products,Canada
ROG.V,Roxgold Inc.,VAN,,Canada
RBM.TO,Response Biomedical Corp.,TOR,,Canada
PVG.TO,Pretium Resources Inc.,TOR,Industrial Metals & Minerals,Canada
PKI.TO,Parkland Fuel Corporation,TOR,Oil & Gas Refining & Marketing,Canada
PEY.TO,Peyto Exploration & Development Corp,TOR,Independent Oil & Gas,Canada
ORL.TO,Orocobre Limited,TOR,Copper,Canada
ORE.TO,Orezone Gold Corporation,TOR,,Canada
OGD.TO,Orbit Garant Drilling Inc.,TOR,Asset Management,Canada
NMI.TO,Kirkland Lake Gold Ltd.,TOR,,Canada
NAL.TO,Newalta Corporation,TOR,Industrial Metals & Minerals,Canada
MNW.TO,Mitel Networks Corporation,TOR,Communication Equipment,Canada
MIC.TO,Genworth MI Canada Inc.,TOR,Accident & Health Insurance,Canada
LTS.TO,Lightstream Resources Ltd.,TOR,,Canada
JE.TO,Just Energy Group Inc.,TOR,Diversified Utilities,Canada
HR-UN.TO,H&R Real Estate Investment Trust,TOR,REIT - Diversified,Canada
HLC.TO,Holloway Lodging Corporation,TOR,Pollution & Treatment Controls,Canada
HGN.TO,Halogen Software Inc.,TOR,,Canada
GXI.TO,GuestLogix Inc.,TOR,,Canada
FPC.V,Falco Resources Ltd.,VAN,,Canada
ECI.TO,EnerCare Inc.,TOR,Rental & Leasing Services,Canada
DH.TO,DH Corporation,TOR,,Canada
DCF.TO,Difference Capital Financial Inc.,TOR,,Canada
CVE.TO,Cenovus Energy Inc.,TOR,Major Integrated Oil & Gas,Canada
CQE.TO,Cequence Energy Ltd.,TOR,Independent Oil & Gas,Canada
CPI.TO,Condor Petroleum Inc.,TOR,Independent Oil & Gas,Canada
COS.TO,Canadian Oil Sands Limited,TOR,,Canada
CJ.TO,Cardinal Energy Ltd.,TOR,Independent Oil & Gas,Canada
CGC.V,Canopy Growth Corporation,VAN,,Canada
CFP.TO,Canfor Corporation,TOR,"Lumber, Wood Production",Canada
BNE.TO,Bonterra Energy Corp,TOR,Independent Oil & Gas,Canada
WEF.TO,Western Forest Products Inc.,TOR,"Lumber, Wood Production",Canada
WCP.TO,Whitecap Resources Inc.,TOR,Independent Oil & Gas,Canada
VLE.TO,Valeura Energy Inc.,TOR,,Canada
VFF.TO,"Village Farms International, Inc.",TOR,Farm Products,Canada
URE.TO,UR-Energy Inc.,TOR,Industrial Metals & Minerals,Canada
TS-B.TO,Torstar Corporation,TOR,Conglomerates,Canada
TRQ.TO,Turquoise Hill Resources Ltd.,TOR,Industrial Metals & Minerals,Canada
TLO.TO,Talon Metals Corp.,TOR,Industrial Metals & Minerals,Canada
TC.TO,Tucows Inc.,TOR,Internet Information Providers,Canada
SVB.TO,"Silver Bull Resources, Inc.",TOR,Industrial Metals & Minerals,Canada
STB.TO,Student Transportation Inc.,TOR,Railroads,Canada
RY-PB.TO,Royal Bank of Canada,TOR,,Canada
RME.TO,Rocky Mountain Dealerships Inc.,TOR,Industrial Equipment Wholesale,Canada
PZA.TO,Pizza Pizza Royalty Corp.,TOR,Gold,Canada
PRU.TO,Perseus Mining Limited,TOR,Gold,Canada
PPY.TO,Painted Pony Energy Ltd.,TOR,,Canada
PBL.TO,Pollard Banknote Limited,TOR,Gaming Activities,Canada
OPM.TO,Opta Minerals Inc.,TOR,,Canada
OBM.TO,Osisko Mining Inc.,TOR,,Canada
NRI.TO,Nuvo Pharmaceuticals Inc.,TOR,Biotechnology,Canada
NRE.TO,Namibia Rare Earths Inc.,TOR,,Canada
NPI.TO,Northland Power Inc.,TOR,Diversified Utilities,Canada
NI.TO,Victory Nickel Inc.,TOR,Industrial Metals & Minerals,Canada
MR-UN.TO,Melcor Real Estate Investment Trust,TOR,,Canada
MGO.TO,Migao Corporation,TOR,,Canada
MEG.TO,MEG Energy Corp.,TOR,Independent Oil & Gas,Canada
MAY.TO,Meadow Bay Gold Corporation,TOR,Closed-End Fund - Foreign,Canada
MAX.TO,Midas Gold Corp.,TOR,Specialty Chemicals,Canada
LVL.V,Lynden Energy Corp.,VAN,,Canada
LIF.TO,Labrador Iron Ore Royalty Corporation,TOR,Steel & Iron,Canada
LGC.TO,Luna Gold Corp.,TOR,,Canada
LB.TO,Laurentian Bank of Canada,TOR,Money Center Banks,Canada
KXS.TO,Kinaxis Inc.,TOR,Technical & System Software,Canada
KEY.TO,Keyera Corp.,TOR,Oil & Gas Pipelines,Canada
KBL.TO,K-Bro Linen Inc.,TOR,Business Services,Canada
K.TO,Kinross Gold Corporation,TOR,,Canada
JAG.V,Jaguar Mining Inc.,VAN,,Canada
IVW.TO,LeadFX Inc.,TOR,,Canada
IVN.TO,Ivanhoe Mines Ltd.,TOR,Industrial Metals & Minerals,Canada
IFP.TO,Interfor Corporation,TOR,Industrial Metals & Minerals,Canada
GUY.TO,Guyana Goldfields Inc.,TOR,Gold,Canada
GQC.V,Goldquest Mining Corp.,VAN,Industrial Metals & Minerals,Canada
GGD.TO,GOGOLD RESOURCES INC,TOR,Industrial Metals & Minerals,Canada
GEI.TO,Gibson Energy Inc.,TOR,Oil & Gas Pipelines,Canada
FRC.TO,Canyon Services Group Inc.,TOR,,Canada
FN.TO,First National Financial Corporation,TOR,Mortgage Investment,Canada
FBS-B.TO,5Banc Split Inc.,TOR,,Canada
EPS.TO,Epsilon Energy Ltd.,TOR,Independent Oil & Gas,Canada
EDV.TO,Endeavour Mining Corporation,TOR,Gold,Canada
ECP.TO,Ecopetrol SA,TOR,,Canada
DRT.TO,DIRTT Environmental Solutions Ltd.,TOR,General Contractors,Canada
DRM.TO,Dream Unlimited Corp.,TOR,Real Estate Development,Canada
DR.TO,Medical Facilities Corporation,TOR,Hospitals,Canada
DF.TO,Dividend 15 Split Corp. II,TOR,,Canada
D-UN.TO,Dream Office Real Estate Investment Trust,TOR,REIT - Office,Canada
COM.TO,Cardiome Pharma Corp.,TOR,Biotechnology,Canada
CNL.TO,Continental Gold Inc.,TOR,Industrial Metals & Minerals,Canada
CG.TO,Centerra Gold Inc.,TOR,Gold,Canada
CFW.TO,Calfrac Well Services Ltd.,TOR,Independent Oil & Gas,Canada
CAO.TO,Cara Operations Limited,TOR,,Canada
BYD-UN.TO,Boyd Group Income Fund,TOR,Personal Services,Canada
BQE.TO,BioteQ Environmental Technologies Inc.,TOR,,Canada
BLU.TO,BELLUS Health Inc.,TOR,Industrial Metals & Minerals,Canada
BLD.TO,Ballard Power Systems Inc.,TOR,,Canada
BFD.V,Beaufield Resources Inc.,VAN,Industrial Metals & Minerals,Canada
BAA.TO,Banro Corporation,TOR,Gold,Canada
